llm_name,condition,group_name,group_value,n_rows,accuracy,accuracy_sd,valid_prediction_rate,parse_fail_rate,mean_confidence,excerpt_in_target_rate,fp_rate_among_gold0,fn_rate_among_gold1,mean_total_chars,mean_prompt_chars,mean_prompt_tokens
google/gemini-3.1-pro-preview,short,filler_family,civic_notices,99,0.6767676767676768,0.4700908038267784,1.0,0.0,0.9488888888888889,0.8585858585858586,0.125,0.5813953488372093,3000.0,4105.989898989899,1027.0
google/gemini-3.1-pro-preview,short,filler_family,transit_summaries,95,0.6631578947368421,0.47513774745788245,1.0,0.0,0.956421052631579,0.8631578947368421,0.10638297872340426,0.5625,3000.0,4105.094736842106,1026.9894736842105
google/gemini-3.1-pro-preview,short,filler_family,catalog_metadata,107,0.6261682242990654,0.4860965911852412,1.0,0.0,0.9415887850467288,0.9065420560747663,0.1346153846153846,0.6,3000.0,4105.981308411215,1027.0
google/gemini-3.1-pro-preview,short,filler_family,encyclopedia_neutral,103,0.6116504854368932,0.48975803767314346,1.0,0.0,0.9468932038834952,0.8737864077669902,0.1276595744680851,0.6071428571428571,3000.0,4105.941747572816,1026.9805825242718
google/gemini-3.1-pro-preview,short,filler_family,archive_boilerplate,96,0.6041666666666666,0.49159604012508756,1.0,0.0,0.9457291666666666,0.8541666666666666,0.16666666666666666,0.625,3000.0,4105.96875,1027.0
google/gemini-3.1-pro-preview,medium,filler_family,civic_notices,99,0.6464646464646465,0.4804999801042981,1.0,0.0,0.9561616161616161,0.8484848484848485,0.16071428571428573,0.6046511627906976,7000.0,8105.181818181818,2026.989898989899
google/gemini-3.1-pro-preview,medium,filler_family,transit_summaries,95,0.6736842105263158,0.4713517289748864,1.0,0.0,0.9552631578947367,0.8842105263157894,0.10638297872340426,0.5416666666666666,7000.0,8105.989473684211,2027.0
google/gemini-3.1-pro-preview,medium,filler_family,catalog_metadata,107,0.6355140186915887,0.483550613231272,1.0,0.0,0.9462616822429906,0.9345794392523364,0.1346153846153846,0.5818181818181818,7000.0,8105.953271028037,2026.981308411215
google/gemini-3.1-pro-preview,medium,filler_family,encyclopedia_neutral,103,0.6504854368932039,0.47914830206739945,1.0,0.0,0.9521359223300971,0.883495145631068,0.1276595744680851,0.5357142857142857,7000.0,8105.961165048544,2026.9805825242718
google/gemini-3.1-pro-preview,medium,filler_family,archive_boilerplate,96,0.6145833333333334,0.4892484390243052,1.0,0.0,0.9476041666666667,0.875,0.1875,0.5833333333333334,7000.0,8105.958333333333,2026.9895833333333
google/gemini-3.1-pro-preview,long,filler_family,civic_notices,99,0.6868686868686869,0.46612743826485925,1.0,0.0,0.9671717171717171,0.8585858585858586,0.08928571428571429,0.6046511627906976,13000.0,14105.9898989899,3527.0
google/gemini-3.1-pro-preview,long,filler_family,transit_summaries,95,0.6842105263157895,0.46729547567908863,1.0,0.0,0.9670526315789474,0.8631578947368421,0.10638297872340426,0.5208333333333334,13000.0,14105.98947368421,3527.0
google/gemini-3.1-pro-preview,long,filler_family,catalog_metadata,107,0.6355140186915887,0.483550613231272,1.0,0.0,0.9565420560747663,0.9065420560747663,0.15384615384615385,0.5636363636363636,13000.0,14105.158878504673,3527.0
google/gemini-3.1-pro-preview,long,filler_family,encyclopedia_neutral,103,0.6601941747572816,0.4759592596309887,1.0,0.0,0.9611650485436893,0.8640776699029126,0.10638297872340426,0.5357142857142857,13000.0,14106.0,3527.0
google/gemini-3.1-pro-preview,long,filler_family,archive_boilerplate,96,0.6041666666666666,0.49159604012508756,1.0,0.0,0.9571875,0.8541666666666666,0.20833333333333334,0.5833333333333334,13000.0,14105.979166666666,3527.0
