llm_name,condition,field,prompt_order_index,completion_rate,correctness_mean,correctness_ci_low,correctness_ci_high
openai/gpt-5.4-2026-03-05,multi_focus_epu_first,epu,1,1.0,0.6466666666666666,0.6075963837060778,0.6838708506632365
openai/gpt-5.4-2026-03-05,multi_focus_epu_first,who,2,1.0,0.28833333333333333,0.2535244428850456,0.3258353438774211
openai/gpt-5.4-2026-03-05,multi_focus_epu_first,actions,3,1.0,0.24333333333333335,0.21070253493146351,0.27922980492223626
openai/gpt-5.4-2026-03-05,multi_focus_epu_first,effects,4,1.0,0.17666666666666667,0.14823467114791486,0.20921256217427828
openai/gpt-5.4-2026-03-05,multi_focus_epu_first,mention_foreign,5,1.0,0.6283333333333333,0.5889641186290101,0.66606971144414
openai/gpt-5.4-2026-03-05,multi_focus_epu_first,mainly_foreign,6,1.0,0.7566666666666667,0.7207701950777639,0.7892974650685365
openai/gpt-5.4-2026-03-05,multi_focus_epu_last,epu,6,1.0,0.6583333333333333,0.6194848756687519,0.6951672523435761
openai/gpt-5.4-2026-03-05,multi_focus_epu_last,who,1,1.0,0.2733333333333333,0.23919928040395344,0.3103513573889243
openai/gpt-5.4-2026-03-05,multi_focus_epu_last,actions,2,1.0,0.385,0.34691372615333516,0.42454946507981617
openai/gpt-5.4-2026-03-05,multi_focus_epu_last,effects,3,1.0,0.33,0.2935616049379783,0.36860137340668003
openai/gpt-5.4-2026-03-05,multi_focus_epu_last,mention_foreign,4,1.0,0.6033333333333334,0.5636512401815564,0.6417006749422788
openai/gpt-5.4-2026-03-05,multi_focus_epu_last,mainly_foreign,5,1.0,0.76,0.7242415574234481,0.7924503580494277
