llm_name,condition,bundle,order,subtask,requested,acc,acc_ci_low,acc_ci_high,present_rate
anthropic/claude-sonnet-4-6@default,full_focus_epu_first,full,epu_first,who,1,0.27,0.2329485392031058,0.31055865740920835,0.502
anthropic/claude-sonnet-4-6@default,full_focus_epu_first,full,epu_first,actions,1,0.274,0.2367406256658206,0.3147055762228011,0.502
anthropic/claude-sonnet-4-6@default,full_focus_epu_first,full,epu_first,effects,1,0.184,0.1524894793781606,0.22032910379354043,0.502
anthropic/claude-sonnet-4-6@default,full_focus_epu_first,full,epu_first,mention_foreign,1,0.614,0.5706131270887722,0.6556485232859939,0.866
anthropic/claude-sonnet-4-6@default,full_focus_epu_first,full,epu_first,mainly_foreign,1,0.69,0.6481416618981787,0.7289610887264314,0.866
anthropic/claude-sonnet-4-6@default,full_focus_epu_last,full,epu_last,who,1,0.166,0.13595774323101012,0.2011353161973068,0.454
anthropic/claude-sonnet-4-6@default,full_focus_epu_last,full,epu_last,actions,1,0.242,0.20651780855112864,0.28141635112703234,0.454
anthropic/claude-sonnet-4-6@default,full_focus_epu_last,full,epu_last,effects,1,0.178,0.14696488670733526,0.21394518854990435,0.454
anthropic/claude-sonnet-4-6@default,full_focus_epu_last,full,epu_last,mention_foreign,1,0.668,0.6255786634624316,0.7078595581424869,1.0
anthropic/claude-sonnet-4-6@default,full_focus_epu_last,full,epu_last,mainly_foreign,1,0.778,0.739530218085007,0.8122306486183701,1.0
