llm_name,comparison,n_rows,acc_a,acc_b,drop_pp,drop_ci_low,drop_ci_high,flip_rate,flip_rate_ci_low,flip_rate_ci_high,hurt_rate,help_rate,b_hurt,c_helped,discordant_n,mcnemar_p,buried_failure_level
deepseek-ai/deepseek-v3.2,easy -> medium,600,0.655,0.6266666666666667,0.02833333333333332,-0.0016666666666666668,0.058333333333333334,0.005,0.001701877658278013,0.014596206345285693,0.08666666666666667,0.058333333333333334,52,35,87,0.08568897435916664,little buried-information failure
deepseek-ai/deepseek-v3.2,easy -> hard,600,0.655,0.59,0.06500000000000006,0.03,0.09833333333333333,0.07166666666666667,0.05363893908574288,0.0951442514493274,0.13,0.065,78,39,117,0.0003961778187923065,moderate buried-information failure
deepseek-ai/deepseek-v3.2,easy -> very_hard,600,0.655,0.58,0.07500000000000007,0.03666666666666667,0.11166666666666666,0.07166666666666667,0.05363893908574288,0.0951442514493274,0.145,0.07,87,42,129,9.206613802682571e-05,moderate buried-information failure
