llm_name,condition,group_name,group_value,n_rows,accuracy,accuracy_sd,valid_prediction_rate,parse_fail_rate,mean_confidence,excerpt_in_target_rate,fp_rate_among_gold0,fn_rate_among_gold1,mean_total_chars,mean_prompt_chars,mean_prompt_tokens
anthropic/claude-sonnet-4-6@default,short,filler_family,civic_notices,99,0.6363636363636364,0.48349377841522817,1.0,0.0,0.8369696969696969,0.5353535353535354,0.17857142857142858,0.6046511627906976,3000.0,4105.989898989899,1027.0
anthropic/claude-sonnet-4-6@default,short,filler_family,transit_summaries,95,0.6526315789473685,0.47865994353544217,0.9789473684210527,0.021052631578947368,0.8150526315789468,0.5578947368421052,0.14893617021276595,0.5,3000.0,4105.094736842106,1026.9894736842105
anthropic/claude-sonnet-4-6@default,short,filler_family,catalog_metadata,107,0.5420560747663551,0.5005727631080014,0.9906542056074766,0.009345794392523364,0.8067289719626167,0.5514018691588785,0.36538461538461536,0.5272727272727272,3000.0,4105.981308411215,1027.0
anthropic/claude-sonnet-4-6@default,short,filler_family,encyclopedia_neutral,103,0.6213592233009708,0.4874202771287358,0.9902912621359223,0.009708737864077669,0.8250485436893201,0.5242718446601942,0.19148936170212766,0.5178571428571429,3000.0,4105.941747572816,1026.9805825242718
anthropic/claude-sonnet-4-6@default,short,filler_family,archive_boilerplate,96,0.6458333333333334,0.480770580295002,1.0,0.0,0.8204166666666666,0.4479166666666667,0.1875,0.5208333333333334,3000.0,4105.96875,1027.0
anthropic/claude-sonnet-4-6@default,medium,filler_family,civic_notices,99,0.6262626262626263,0.48625722985776854,0.9595959595959596,0.04040404040404041,0.7987878787878788,0.48484848484848486,0.21428571428571427,0.4883720930232558,7000.0,8105.181818181818,2026.989898989899
anthropic/claude-sonnet-4-6@default,medium,filler_family,transit_summaries,95,0.631578947368421,0.484935432836328,0.9789473684210527,0.021052631578947368,0.8196842105263157,0.5473684210526316,0.19148936170212766,0.5,7000.0,8105.989473684211,2027.0
anthropic/claude-sonnet-4-6@default,medium,filler_family,catalog_metadata,107,0.5514018691588785,0.4996913171642104,0.9532710280373832,0.04672897196261682,0.7750467289719627,0.5420560747663551,0.3269230769230769,0.4727272727272727,7000.0,8105.953271028037,2026.981308411215
anthropic/claude-sonnet-4-6@default,medium,filler_family,encyclopedia_neutral,103,0.6504854368932039,0.47914830206739945,0.9611650485436893,0.038834951456310676,0.8026213592233007,0.5533980582524272,0.1276595744680851,0.4642857142857143,7000.0,8105.961165048544,2026.9805825242718
anthropic/claude-sonnet-4-6@default,medium,filler_family,archive_boilerplate,96,0.625,0.4866642633922876,0.96875,0.03125,0.79625,0.4583333333333333,0.20833333333333334,0.4791666666666667,7000.0,8105.958333333333,2026.9895833333333
anthropic/claude-sonnet-4-6@default,long,filler_family,civic_notices,99,0.6262626262626263,0.48625722985776854,0.9797979797979798,0.020202020202020204,0.8218181818181818,0.43434343434343436,0.26785714285714285,0.46511627906976744,13000.0,14105.9898989899,3527.0
anthropic/claude-sonnet-4-6@default,long,filler_family,transit_summaries,95,0.6947368421052632,0.46296188461572396,0.9894736842105263,0.010526315789473684,0.8310526315789472,0.5894736842105263,0.14893617021276595,0.4375,13000.0,14105.98947368421,3527.0
anthropic/claude-sonnet-4-6@default,long,filler_family,catalog_metadata,107,0.5607476635514018,0.4986315252666767,1.0,0.0,0.8173831775700934,0.5420560747663551,0.34615384615384615,0.5272727272727272,13000.0,14105.158878504673,3527.0
anthropic/claude-sonnet-4-6@default,long,filler_family,encyclopedia_neutral,103,0.6601941747572816,0.4759592596309887,0.9902912621359223,0.009708737864077669,0.8274757281553394,0.5436893203883495,0.0851063829787234,0.5357142857142857,13000.0,14106.0,3527.0
anthropic/claude-sonnet-4-6@default,long,filler_family,archive_boilerplate,96,0.65625,0.4774521193960599,1.0,0.0,0.8159375,0.4479166666666667,0.20833333333333334,0.4791666666666667,13000.0,14105.979166666666,3527.0
