llm_name,comparison,n_rows,acc_a,acc_b,drop_pp,drop_ci_low,drop_ci_high,flip_rate,flip_rate_ci_low,flip_rate_ci_high,hurt_rate,help_rate,b_hurt,c_helped,discordant_n,mcnemar_p,hurt_help_ratio,shift_level
google/gemini-2.5-pro,single_focus -> multi_focus_epu_first,600,0.45,0.44333333333333336,0.006666666666666654,-0.013333333333333334,0.02666666666666667,0.08823529411764706,0.06441471828163761,0.1197373557661422,0.035,0.028333333333333332,21,17,38,0.6271025701571489,1.2352941176470589,mixed / borderline
google/gemini-2.5-pro,single_focus -> multi_focus_epu_last,600,0.45,0.455,-0.0050000000000000044,-0.028333333333333332,0.016666666666666666,0.10294117647058823,0.07706334476322697,0.13622615521141784,0.035,0.04,21,24,45,0.765991824244793,0.875,mixed / borderline
google/gemini-2.5-pro,multi_focus_epu_first -> multi_focus_epu_last,600,0.44333333333333336,0.455,-0.011666666666666659,-0.03,0.006666666666666667,0.07125307125307126,0.0500660762847745,0.10045782409813195,0.021666666666666667,0.03333333333333333,13,20,33,0.296206368599087,0.65,mixed / borderline
