llm_name,condition,group_name,group_value,n_rows,accuracy,accuracy_sd,valid_prediction_rate,parse_fail_rate,mean_confidence,excerpt_in_target_rate,fp_rate_among_gold0,fn_rate_among_gold1,mean_total_chars,mean_prompt_chars,mean_prompt_tokens
openai/gpt-5.4-2026-03-05,short,filler_family,civic_notices,99,0.6565656565656566,0.4772715002291065,1.0,0.0,0.886161616161616,0.6565656565656566,0.26785714285714285,0.4418604651162791,3000.0,4105.989898989899,1027.0
openai/gpt-5.4-2026-03-05,short,filler_family,transit_summaries,95,0.6947368421052632,0.46296188461572396,1.0,0.0,0.8934736842105264,0.6210526315789474,0.2127659574468085,0.3958333333333333,3000.0,4105.094736842106,1026.9894736842105
openai/gpt-5.4-2026-03-05,short,filler_family,catalog_metadata,107,0.5981308411214953,0.49258297039087445,1.0,0.0,0.8757009345794393,0.6728971962616822,0.3269230769230769,0.4727272727272727,3000.0,4105.981308411215,1027.0
openai/gpt-5.4-2026-03-05,short,filler_family,encyclopedia_neutral,103,0.6407766990291263,0.4821188717635573,1.0,0.0,0.8952427184466017,0.6310679611650486,0.23404255319148937,0.4642857142857143,3000.0,4105.941747572816,1026.9805825242718
openai/gpt-5.4-2026-03-05,short,filler_family,archive_boilerplate,96,0.6666666666666666,0.4738791022072739,1.0,0.0,0.8870833333333333,0.6458333333333334,0.20833333333333334,0.4583333333333333,3000.0,4105.96875,1027.0
openai/gpt-5.4-2026-03-05,medium,filler_family,civic_notices,99,0.6666666666666666,0.4738035414793428,1.0,0.0,0.8796969696969698,0.6666666666666666,0.2857142857142857,0.3953488372093023,7000.0,8105.181818181818,2026.989898989899
openai/gpt-5.4-2026-03-05,medium,filler_family,transit_summaries,95,0.7263157894736842,0.4482140745926371,1.0,0.0,0.898,0.631578947368421,0.1702127659574468,0.375,7000.0,8105.989473684211,2027.0
openai/gpt-5.4-2026-03-05,medium,filler_family,catalog_metadata,107,0.6074766355140186,0.49061011969107454,1.0,0.0,0.8647663551401871,0.6915887850467289,0.3076923076923077,0.4727272727272727,7000.0,8105.953271028037,2026.981308411215
openai/gpt-5.4-2026-03-05,medium,filler_family,encyclopedia_neutral,103,0.7184466019417476,0.45195600445599815,1.0,0.0,0.8844660194174758,0.6699029126213593,0.1276595744680851,0.4107142857142857,7000.0,8105.961165048544,2026.9805825242718
openai/gpt-5.4-2026-03-05,medium,filler_family,archive_boilerplate,96,0.65625,0.4774521193960599,1.0,0.0,0.8830208333333333,0.6458333333333334,0.20833333333333334,0.4791666666666667,7000.0,8105.958333333333,2026.9895833333333
openai/gpt-5.4-2026-03-05,long,filler_family,civic_notices,99,0.6363636363636364,0.4834937784152282,1.0,0.0,0.8895959595959595,0.696969696969697,0.2857142857142857,0.46511627906976744,13000.0,14105.9898989899,3527.0
openai/gpt-5.4-2026-03-05,long,filler_family,transit_summaries,95,0.7263157894736842,0.4482140745926371,1.0,0.0,0.8943157894736843,0.6421052631578947,0.1702127659574468,0.375,13000.0,14105.98947368421,3527.0
openai/gpt-5.4-2026-03-05,long,filler_family,catalog_metadata,107,0.5514018691588785,0.4996913171642104,1.0,0.0,0.8683177570093457,0.7289719626168224,0.40384615384615385,0.4909090909090909,13000.0,14105.158878504673,3527.0
openai/gpt-5.4-2026-03-05,long,filler_family,encyclopedia_neutral,103,0.6796116504854369,0.4689076215098176,1.0,0.0,0.8787378640776701,0.7378640776699029,0.23404255319148937,0.39285714285714285,13000.0,14106.0,3527.0
openai/gpt-5.4-2026-03-05,long,filler_family,archive_boilerplate,96,0.6354166666666666,0.4838397226282506,1.0,0.0,0.8738541666666668,0.6979166666666666,0.25,0.4791666666666667,13000.0,14105.979166666666,3527.0
