llm_name,condition,group_name,group_value,n_rows,accuracy,accuracy_sd,valid_prediction_rate,parse_fail_rate,mean_confidence,excerpt_in_target_rate,fp_rate_among_gold0,fn_rate_among_gold1,mean_total_chars,mean_prompt_chars,mean_prompt_tokens
openai/gpt-5.4-2026-03-05,short,disagreement_flag,0,361,0.7368421052631579,0.44095855184409843,1.0,0.0,0.8865096952908588,0.6232686980609419,0.23214285714285715,0.31386861313868614,3000.0,4105.8005540166205,1026.994459833795
openai/gpt-5.4-2026-03-05,short,disagreement_flag,1,139,0.4244604316546763,0.49604840323353216,1.0,0.0,0.8895683453237409,0.7050359712230215,0.4230769230769231,0.6106194690265486,3000.0,4105.812949640288,1026.9928057553957
openai/gpt-5.4-2026-03-05,medium,disagreement_flag,0,361,0.7673130193905817,0.42313083617773484,1.0,0.0,0.8821052631578947,0.6398891966759003,0.20535714285714285,0.2773722627737226,7000.0,8105.806094182825,2026.994459833795
openai/gpt-5.4-2026-03-05,medium,disagreement_flag,1,139,0.4316546762589928,0.49709824229833094,1.0,0.0,0.8802877697841728,0.7194244604316546,0.38461538461538464,0.6106194690265486,7000.0,8105.820143884892,2026.9712230215828
openai/gpt-5.4-2026-03-05,long,disagreement_flag,0,361,0.7340720221606648,0.4424393057164383,1.0,0.0,0.8794182825484765,0.6786703601108033,0.25,0.291970802919708,13000.0,14105.817174515236,3527.0
openai/gpt-5.4-2026-03-05,long,disagreement_flag,1,139,0.41007194244604317,0.4936253000158772,1.0,0.0,0.8839568345323741,0.762589928057554,0.46153846153846156,0.6194690265486725,13000.0,14105.79856115108,3527.0
