llm_name,comparison,n_rows,acc_a,acc_b,drop_pp,drop_ci_low,drop_ci_high,flip_rate,flip_rate_ci_low,flip_rate_ci_high,hurt_rate,help_rate,b_hurt,c_helped,discordant_n,mcnemar_p,buried_failure_level
anthropic/claude-sonnet-4-6@default,easy -> medium,600,0.6483333333333333,0.6433333333333333,0.0050000000000000044,-0.018333333333333333,0.028333333333333332,0.005,0.001701877658278013,0.014596206345285693,0.05,0.045,30,27,57,0.7913664277791806,little buried-information failure
anthropic/claude-sonnet-4-6@default,easy -> hard,600,0.6483333333333333,0.605,0.043333333333333335,0.011666666666666667,0.07333333333333333,0.043333333333333335,0.029740998134782655,0.06273602212439733,0.1,0.056666666666666664,60,34,94,0.009547810466077417,mixed / borderline
anthropic/claude-sonnet-4-6@default,easy -> very_hard,600,0.6483333333333333,0.6216666666666667,0.026666666666666616,-0.0016666666666666668,0.055,0.025,0.015207839599852635,0.040835776363163045,0.07333333333333333,0.04666666666666667,44,28,72,0.07636915467183139,little buried-information failure
