llm_name,cond_a,cond_b,comparison,n_rows,acc_a,acc_b,delta_pp,delta_ci_low,delta_ci_high,flip_rate,flip_rate_ci_low,flip_rate_ci_high,hurt_rate,help_rate,b_hurt,c_helped,discordant_n,mcnemar_p,hurt_help_ratio
openai/gpt-5.4-2026-03-05,single_focus,single_long_control,single_focus -> single_long_control,500,0.648,0.628,-0.020000000000000018,-0.044,0.004,0.072,0.0524580314181262,0.09806840401696253,0.046,0.026,23,13,36,0.13249816396273675,1.7692307692307692
openai/gpt-5.4-2026-03-05,single_focus,full_focus_epu_first,single_focus -> full_focus_epu_first,500,0.648,0.628,-0.020000000000000018,-0.04604999999999998,0.006,0.092,0.06968272368045207,0.12053873813617456,0.056,0.036,28,18,46,0.18392482137699062,1.5555555555555556
openai/gpt-5.4-2026-03-05,single_focus,full_focus_epu_last,single_focus -> full_focus_epu_last,500,0.648,0.628,-0.020000000000000018,-0.048,0.008,0.10020040080160321,0.07683293191914245,0.12967641013915127,0.06,0.04,30,20,50,0.20263875106454066,1.5
openai/gpt-5.4-2026-03-05,single_long_control,full_focus_epu_first,single_long_control -> full_focus_epu_first,500,0.628,0.628,0.0,-0.028,0.026,0.096,0.07317350466541904,0.12498696242751521,0.048,0.048,24,24,48,1.0,1.0
openai/gpt-5.4-2026-03-05,single_long_control,full_focus_epu_last,single_long_control -> full_focus_epu_last,500,0.628,0.628,0.0,-0.03,0.03,0.11222444889779559,0.08743978043099307,0.14293394231727677,0.056,0.056,28,28,56,1.0,1.0
openai/gpt-5.4-2026-03-05,full_focus_epu_first,full_focus_epu_last,full_focus_epu_first -> full_focus_epu_last,500,0.628,0.628,0.0,-0.034,0.034,0.1523046092184369,0.12344296430349681,0.1864786940780268,0.076,0.076,38,38,76,1.0,1.0
