llm_name,gold_epu,n_rows,single_focus_acc,single_focus_acc_ci_low,single_focus_acc_ci_high,single_focus_json_valid_rate,single_focus_excerpt_in_target_rate,single_focus_confidence_mean,single_focus_aux_mean,single_focus_task_completion_mean,single_focus_completion_share_mean,single_focus_parse_failure_rate,single_focus_acc_gold1,single_focus_acc_gold0,single_long_control_acc,single_long_control_acc_ci_low,single_long_control_acc_ci_high,single_long_control_json_valid_rate,single_long_control_excerpt_in_target_rate,single_long_control_confidence_mean,single_long_control_aux_mean,single_long_control_task_completion_mean,single_long_control_completion_share_mean,single_long_control_parse_failure_rate,single_long_control_acc_gold1,single_long_control_acc_gold0,full_focus_epu_first_acc,full_focus_epu_first_acc_ci_low,full_focus_epu_first_acc_ci_high,full_focus_epu_first_json_valid_rate,full_focus_epu_first_excerpt_in_target_rate,full_focus_epu_first_confidence_mean,full_focus_epu_first_aux_mean,full_focus_epu_first_task_completion_mean,full_focus_epu_first_completion_share_mean,full_focus_epu_first_parse_failure_rate,full_focus_epu_first_acc_gold1,full_focus_epu_first_acc_gold0,full_focus_epu_last_acc,full_focus_epu_last_acc_ci_low,full_focus_epu_last_acc_ci_high,full_focus_epu_last_json_valid_rate,full_focus_epu_last_excerpt_in_target_rate,full_focus_epu_last_confidence_mean,full_focus_epu_last_aux_mean,full_focus_epu_last_task_completion_mean,full_focus_epu_last_completion_share_mean,full_focus_epu_last_parse_failure_rate,full_focus_epu_last_acc_gold1,full_focus_epu_last_acc_gold0,first_to_last_delta_pp,first_to_last_mcnemar_p,first_to_last_flip_rate
openai/gpt-5.4-2026-03-05,1,250,0.576,0.5140449538388132,0.6356547846378791,1.0,0.7,0.87944,,0.0,,0.0,0.576,,0.548,0.48604464273690806,0.6085025605115293,1.0,0.728,0.8866,,0.0,,0.0,0.548,,0.608,0.5462866446092448,0.6664445626997392,1.0,0.644,0.87992,0.4664,3.824,0.7647999999999999,0.0,0.608,,0.476,0.41492428638011175,0.5378021119956694,0.996,0.612,0.8994399999999999,0.43360000000000004,3.388,0.6776,0.0040000000000000036,0.476,,-0.132,3.608874976634979e-08,0.1566265060240964
openai/gpt-5.4-2026-03-05,0,250,0.72,0.6613357159999059,0.7720056322220984,1.0,0.692,0.9033599999999999,,0.0,,0.0,,0.72,0.708,0.6488299033041979,0.7608746441056972,1.0,0.76,0.90456,,0.0,,0.0,,0.708,0.648,0.5869651913984794,0.704555351950869,1.0,0.656,0.89444,0.31120000000000003,3.056,0.6112000000000001,0.0,,0.648,0.78,0.7246272763980252,0.8268980758845258,1.0,0.636,0.92608,0.28,2.652,0.5304000000000001,0.0,,0.78,0.132,1.0244548320770264e-08,0.148
