llm_name,gold_epu,n_rows,easy_joint_acc,easy_retrieval_rate,easy_epu_acc_only,medium_joint_acc,medium_retrieval_rate,medium_epu_acc_only,hard_joint_acc,hard_retrieval_rate,hard_epu_acc_only,very_hard_joint_acc,very_hard_retrieval_rate,very_hard_epu_acc_only,easy_to_very_hard_drop_pp,easy_to_very_hard_mcnemar_p,easy_to_very_hard_flip_rate,easy_to_very_hard_buried_failure_level
qwen/qwen3-235b-a22b-instruct-2507,0,300,0.8133333333333334,1.0,0.8133333333333334,0.7933333333333333,0.9966666666666667,0.7933333333333333,0.7,0.93,0.75,0.7033333333333334,0.9266666666666666,0.75,0.10999999999999999,1.9167786796225883e-05,0.07333333333333333,moderate buried-information failure
qwen/qwen3-235b-a22b-instruct-2507,1,300,0.51,0.9966666666666667,0.51,0.5,0.99,0.5,0.5033333333333333,0.9433333333333334,0.5333333333333333,0.49,0.97,0.49666666666666665,0.020000000000000018,0.49661743531793345,0.03333333333333333,little buried-information failure
